Name,original_price,discount,Discounted_Price
ASITIS Creatine Monohydrate 100g 33 Servings Labdoor USA Certified for Accuracy & Purity,1500,47%,799
True Wireless Bluetooth Airpods Charging Case Super Sounds Premium Wts Pro 2,999,60%,399
(New Launch) Alewa Steel Smart Watch : with Stylish Steel Band | 1.4 inch AMOLED Display| 100+ Sports Modes | IP68 Waterproof | upto 10 days Battery life | Menstrual Reminder | Blood Pressure sensor,5499,27%,3999
AR Jordan 1 Dark Mocha Sneaker for Men,5499,71%,1599
boAt Smartwatch WAVE CALL 2 | Bluetooth Calling | 1.83 Inch HD Display | 700 + Activities Modes | 1000 + Cloud Watch Faces | Crest OS+ App Support,7999,63%,2999
Black Martin Classic Ankle Boots For Men,5500,79%,1149
TWS Wireless Bluetooth Airpods Charging Case Super Sound Premium Pro 2,1500,77%,349
LCD Writing Tab 8.5 Inch With Pen Writing Pad,350,60%,140
"Premium Kojic Acid Soap by Zuwa Cosmetics, Exfoliates, Smoothens, Lightens - 135 gm",270,20%,216
JINA ALCHEMY Third Eye Hair Oil 50ml,1000,14%,863
Multipurpose Wire Dishwashing Rags for Wet and Dry Stainless Steel Scrubber Non-Scratch Wire Dishcloth for Washing Dishes Sinks Counters Easy Rinsing Machine Washable Pack 10,599,50%,299
RC Victor Wireless Stereo Headphone,2500,60%,999
Ultra Pods Bluetooth 5.3 Earbuds Stereo Touch Control With Flash Light,1500,73%,399
Women's Fashion Classic Comfortable Cotton Ankle Socks - Pack Of 5 Pairs - Multicolor | Fashion Ankle Socks For Women,1000,70%,299
Vintage T9 Electric Hair Clipper Plastic Body Professional Hair Trimmer For Men,599,37%,379
Speaker Haifsun S-500 Portable Easy To Carry With Colorful RGB Light,999,50%,499
Aiwibi Diaper Pant style M-36 Astronaut Series,1200,8%,1100
Thongs Underwear Panties Women Lace Underwear Sexy Breathable Hipster Panty Stretch Hollow Seamless Bikini Briefs (Crochet Lace Up Korean Panties),300,50%,149
P9 Wireless Bluetooth Headphones Latest with Stereo Headset,1599,58%,675
High-Performance - 60W Fast Charging Cable Type-C Mobile Phone Data Cable USB Charger Set Storage Box,800,73%,219
